"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"109069684715954179","","","","","2011-09-01 01:06:53 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","A bit of @RJD2 to code to..."
"109010312925151232","109003824236204032","167086378","","","2011-08-31 21:10:58 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@travlake news to me"
"108907149744283648","","","","","2011-08-31 14:21:02 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","Flipping the classroom has promise! http://t.co/Yuw9W0I","http://blendmylearning.com/2011/08/31/the-results/"
"108906496280100864","","","","","2011-08-31 14:18:26 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","Always excited to wake up to a new @EdSurge newsletter in my inbox. A great way to start the day!"
"108726156928368640","108716094331695105","10200322","","","2011-08-31 02:21:50 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@amdavidson definitely. @curryupnow is delicious"
"108604437941075968","","","108598410482958336","21237045","2011-08-30 18:18:10 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","RT @Flickr: Introducing geofences! Set the areas you want to keep your location info private and we take care of the rest. http://t.co/o ..."
"107837302511910912","","","","","2011-08-28 15:29:51 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nothing like a nice 20km run in the woods to start the day."
"107168999980277761","","","","","2011-08-26 19:14:15 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","Can Text-Messaging Improve Communication Between the School and the Home? | Hack Education http://t.co/XXahL4W via @hackeducation @remind101","http://www.hackeducation.com/2011/08/26/can-text-messaging-improve-communication-between-the-school-and-the-home/"
"106755139888623617","","","","","2011-08-25 15:49:43 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","Job's hand touched everything in Apple, as evidenced by the patents with his name on them: http://t.co/g0dh2vC","http://www.nytimes.com/interactive/2011/08/24/technology/steve-jobs-patents.html"
"105839306190503936","105837256803221504","10200322","","","2011-08-23 03:10:31 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@amdavidson @jefflab I actually thought @arstechnica had a great writeup http://t.co/v3CMNvR and it came before @gruber 's.","http://arstechnica.com/business/news/2011/08/does-apotheker-need-an-apothecary-why-hp-is-exiting-the-pc-business.ars"
"105748240779063296","105747907164110848","14124477","","","2011-08-22 21:08:39 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@jefflab Hardware isn't as big of margins as software/service. Look at the acquisition of Autonomy as an example."
"105748158130294784","105747907164110848","14124477","","","2011-08-22 21:08:20 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@jefflab I don't think they're going in the hardware direction at all (besides high margin servers and printers)."
"105176165739802625","105169710211006465","233505637","","","2011-08-21 07:15:26 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@usamahc of course dude!"
"105029044181020672","","","105023548367716352","14109167","2011-08-20 21:30:50 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @flowingdata: In-n-out is better than Five Guys. No contest."
"104922140389806080","104902805562728449","233505637","","","2011-08-20 14:26:02 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@usamahc what time do you want to go? and do you want a ride back?"
"102127976681979904","102121630989430787","14635493","","","2011-08-12 21:23:01 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@alex_gaynor Have you run MySQL-ctypes (or know anyone who has) on Mac OS X?"
