"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"13086387564","","","","","2010-04-29 19:51:55 +0000","<a href=""https://launchpad.net/gwibber/"" rel=""nofollow"">Gwibber</a>","RT @espn: Sacramento Kings point guard Tyreke Evans wins NBA Rookie of Year award - http://tinyurl.com/23mxgg5"
"13010242214","","","12964374883","9409552","2010-04-28 14:45:09 +0000","web","RT @hardwear: This week is your FINAL chance to enter our backpack giveaway. Post a tweet with #mhwpacks by Fri 10 am PST! Five winners  ..."
"12966865352","","","","","2010-04-27 21:45:31 +0000","<a href=""https://launchpad.net/gwibber/"" rel=""nofollow"">Gwibber</a>","? @DevilsCanyon: Which Country Makes The Worlds Worst Beer? : http://is.gd/bKqrh"
"12717883996","","","12717773663","115485051","2010-04-23 18:36:14 +0000","<a href=""http://twidroid.com"" rel=""nofollow"">twidroid</a>","RT @ConanOBrien: I'm sending a tweet from inside Twitter HQ. I'll bet those hot girls in high school wish they had slept with me now."
"12679445703","","","","","2010-04-23 03:08:11 +0000","<a href=""http://twidroid.com"" rel=""nofollow"">twidroid</a>","Team coco!! Preparing for Conan to come on stage. #cobnob"
"12619812168","12619481645","759249","","","2010-04-22 04:27:34 +0000","<a href=""http://twidroid.com"" rel=""nofollow"">twidroid</a>","@deaneckles why are you watching Glee to begin with?"
"12600567176","","","","","2010-04-21 22:05:48 +0000","<a href=""http://www.tweetdeck.com/"" rel=""nofollow"">TweetDeck</a>","Upgrading Aperture 2 libraries for Aperture 3 is slow as molasses."
"12468339067","","15635960","","","2010-04-19 18:03:13 +0000","web","@AlisonatVark Great battery advice for new Macbook Pro owners! http://vark.com/t/467083"
"12238186523","12237629629","10200322","","","2010-04-15 18:46:17 +0000","<a href=""https://launchpad.net/gwibber/"" rel=""nofollow"">Gwibber</a>","@amdavidson: I hope I'm right and don't need the speed bump and the extra 256MB of graphics memory."
"12238166484","12237629629","10200322","","","2010-04-15 18:45:48 +0000","<a href=""https://launchpad.net/gwibber/"" rel=""nofollow"">Gwibber</a>","@amdavidson: I debated about the 15"" i7, but eventually decided the i5 was enough."
"12237564543","12237389417","10200322","","","2010-04-15 18:31:21 +0000","<a href=""https://launchpad.net/gwibber/"" rel=""nofollow"">Gwibber</a>","@amdavidson: Yeah. Went with a 15"" i5 with the hi-res screen. Apparently the hi-res is BTO option only, which meant no apple store for me."
"12237346375","12237186838","10200322","","","2010-04-15 18:26:10 +0000","<a href=""https://launchpad.net/gwibber/"" rel=""nofollow"">Gwibber</a>","@amdavidson: My new Macbook Pro is in ""the shop"" too. Expecting it tomorrow or Monday. Wish I had an iPad to test out your new lifestyle."
"12203765116","","","","","2010-04-15 04:02:24 +0000","<a href=""http://twidroid.com"" rel=""nofollow"">twidroid</a>","Quiz night in San Mathes is off to a rough start. Prepping for a huge rally."
"11907536222","","","","","2010-04-09 23:35:00 +0000","<a href=""http://flickr.com/services/twitter/"" rel=""nofollow"">Flickr</a>","Handstand at Machu Picchu http://flic.kr/p/7SeJG7"
