"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"119159932120604672","","","","","2011-09-28 21:21:56 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","RT @flickr: We've also released our first official Android app with browsing, camera filters and sharing to Facebook and Twitter!..."
"119092463968337920","","","","","2011-09-28 16:53:50 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","Why did @google remove the @googlereader tab from the gmail toolbar! That was my most used toolbar link! Now I'm constantly looking for it"
"118769668126277632","","","118758888261685248","362653962","2011-09-27 19:31:10 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","RT @Eduvant: Congrats to @ClassDojo for winning the Innovation Challenge at #EducationNation!"
"118769653332975617","","","118762486131462144","15161274","2011-09-27 19:31:06 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","RT @brettkopf: So excited for @usamahc & @liamdon from @classdojo won the Innovation Challenge at #EducationNation! #proudofyou!"
"118331276913680384","","","118292383426285569","315617667","2011-09-26 14:29:09 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","RT @ClassDojo: Morning all! Please vote @ClassDojo up in the NBC Innovation Challenge - hit the 'like' button, takes 1 sec! http://t.co/ ..."
"117260166453399552","","","117255368152846336","19017659","2011-09-23 15:32:56 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","RT @sam_amick: The NBA has indefinitely postponed training camp and canceled preseason games from Oct. 9 to Oct. 15."
"116960561861890048","","","","","2011-09-22 19:42:25 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","RT @minutephysics: @khanacademy brought education to the masses, @educreations lets the masses create their own khanacademy educreations.com"
"116960427895832578","","","116938320205971457","321029318","2011-09-22 19:41:53 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","RT @minutephysics: @khanacademy brought education to the masses, @educreations lets the masses create their own khanacademy http://t.co/ ..."
"116605248130396161","","","","","2011-09-21 20:10:32 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","RT @educreations: ImagineK12 hatches its first class of education tech startups | VentureBeat: http://t.co/eeTuRUJu","http://bit.ly/mQ2o8c"
"116337657780506624","","","","","2011-09-21 02:27:13 +0000","<a href=""http://www.hootsuite.com"" rel=""nofollow"">HootSuite</a>","RT @christine: RT @webtonull: A DBA walks into a NOSQL bar, but turns and leaves because he couldn't find a table"
"116178218070982656","","","","","2011-09-20 15:53:40 +0000","<a href=""http://www.chrisstreeter.com"" rel=""nofollow"">chrisstreeter.com</a>","Homebrew Package Update Notifications via Growl http://t.co/xXnI1cdF","http://www.chrisstreeter.com/archive/2011/09/821/homebrew-package-update-notifications-via-"
"116026182293663744","116011297874771968","15668311","","","2011-09-20 05:49:32 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@mattbornski i've got a membership there too. we should climb sometime."
"115822614374662144","","","","","2011-09-19 16:20:37 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","Sell to Teachers by making something they want: http://t.co/VXMOcInJ","http://blog.jarredsumner.com/2011/09/18/sell-to-teachers/"
"115419898624229376","","","115251666386817024","149029700","2011-09-18 13:40:22 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","RT @hackeducation: ClassConnect: Rethinking the LMS http://t.co/T22QFlCq","http://dlvr.it/lxqtB"
"114766058270892032","","","114748462637133825","233505637","2011-09-16 18:22:15 +0000","web","RT @usamahc: RT @devp: RT @EdSurge: Teachers need this kind of help: http://t.co/9gbHv2v0 ( #tcdisrupt live at http://t.co/tnsaAsGp)","http://www.classdojo.com/","http://ustre.am/Cnla"
"114422272986578944","","","114393503269797888","15649565","2011-09-15 19:36:10 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","RT @lorenbaxter: And the winner of TechCrunch disrupt is: A social video game!

All they're disrupting is the concept of ""companies that ..."
"114364736820355073","","","","","2011-09-15 15:47:32 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","RT @imaginek12: Imagine K12 at TechCrunch Disrupt: http://t.co/Oergw7tc","http://www.techcrunch.tv/show/disrupt/0wNXNzMjqnvtv4ArdN5of6ARTadjInSV"
"114075828387721216","","","","","2011-09-14 20:39:31 +0000","web","Educreations on stage at #TCDisrupt http://t.co/RtO05tmB /cc @educreations","http://www.flickr.com/photos/disruptsf2011/6147861686/"
"114060374197796864","","","","","2011-09-14 19:38:07 +0000","web","And the @imaginek12 cohort is live! http://t.co/bA2b6Koj","http://www.imaginek12.com/cohort1.html"
"114031736115052544","","","114029262050312192","14124477","2011-09-14 17:44:19 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","RT @jefflab: Congratulations to the ImagineK12 people who presented at TC disrupt.  I'm excited to see so many people working on importa ..."
"114025617653104640","","","114021725976535040","17831644","2011-09-14 17:20:00 +0000","web","RT @danieljyoo: @drh192 @goalbookapp #TCDisrupt Thanks so much for the compliment!  I am excited about all the @imaginek12 companies.  E ..."
"114025542709284864","","","114020863988334592","274793711","2011-09-14 17:19:42 +0000","web","RT @EdSurge: Sweet job, Imagineers! You all nailed it.  ( #tcdisrupt live at http://t.co/heMFHHo)","http://ustre.am/Cnla"
"114025127674527744","","","114019306135760896","6809792","2011-09-14 17:18:03 +0000","web","RT @evowo: educreations creating a 5 min lesson should take 5 min - make it simple to teach on any place and device #TCDisrupt"
"114025070179000321","","","114018861321424898","28338565","2011-09-14 17:17:49 +0000","web","RT @pemullen: So refreshing to see education-focused startups pitching at #TCDisrupt. We have enough photo, social, check-in, daily deal ..."
"114024973466730497","","","114018451043004416","274793711","2011-09-14 17:17:26 +0000","web","RT @EdSurge: You rock, most excellent edsurgents!  ( #tcdisrupt live at http://t.co/heMFHHo)","http://ustre.am/Cnla"
"114018662301700096","","","","","2011-09-14 16:52:22 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","Educreations is on stage at #tcdisrupt ! /cc @educreations"
"114017406967484416","","","","","2011-09-14 16:47:22 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","Educreations is going to be on stage in just a few minutes! /cc @educreations #tcdisrupt"
"114017193724874752","","","","","2011-09-14 16:46:31 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","On stage at #tcdisrupt right now: @Eduvant will fundamentally change how administrators will look at data."
"114016657298554880","","","114016370290724865","45360799","2011-09-14 16:44:24 +0000","web","RT @thedelk: @imaginek12 Well done! Pitches are on par w/ or above what we've seen all week at #TCDisrupt. Love that the innovations sol ..."
"113956825891737600","","","","","2011-09-14 12:46:39 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","RT @educreations: We're live! Sign up and start teaching and sharing today at http://t.co/s6M40DW","http://edcr8.co/oCRnyC"
"113954210642542592","","","","","2011-09-14 12:36:15 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","Great batch of companies mentioned in today's @EdSurge : @remind101 @ClassConnectInc @ClassDojo @Eduvant @educreations @goalbookapp"
"113820270300631040","","","","","2011-09-14 03:44:01 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","And @educreations is live! http://t.co/PfAI3WN","http://www.educreations.com/"
"113448343950204929","","","","","2011-09-13 03:06:07 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","You can't build a reputation on what you are going to do. - Henry Ford"
"112137488683909121","","","112079978438463488","17831644","2011-09-09 12:17:15 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","RT @danieljyoo: Friday is a very big day"
"111946768811425792","","","","","2011-09-08 23:39:24 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","Pushed an updated design and polished the iPad app. Continuing to prep for tomorrow."
"111612781085728768","","","","","2011-09-08 01:32:15 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","Check out the Wednesday schedule: http://t.co/ObAOngx","http://techcrunch.com/2011/09/07/disrupt-sf-2011-agenda/"
"111592219466670080","111591757090799617","19261045","","","2011-09-08 00:10:33 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>",".@ConDri thanks dude. You gotta start following @educreations now."
"111560209213816833","","","","","2011-09-07 22:03:21 +0000","<a href=""http://twitter.com/tweetbutton"" rel=""nofollow"">Tweet Button</a>","Via @MindShiftKQED: Can Mobile Phones Help Teachers Manage Classroom Behavior? | http://t.co/JWB2V9g","http://mindshift.kqed.org/2011/09/can-mobile-phones-help-teachers-manage-classroom-behavior/"
"111471656416976896","","","111453985717755904","641003","2011-09-07 16:11:28 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","RT @jezdez: Let's try again, django_compressor 1.0.1 is out with a bugfix of the staticfiles compatibility module. Thx, @chrisstreeter!  ..."
"111430596638683136","111410670393765890","641003","","","2011-09-07 13:28:19 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@jezdez Congrats on the 1.0 release! Glad my small patches were able to help. Looking forward to more contributions and releases."
