"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"263816687781019648","","","","","2012-11-01 01:36:14 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","RT @GavinNewsom: http://t.co/cwPzAt9s","http://cl.ly/0n0U0W2n0q0M"
"263699455507824640","263693469766270976","820873","","","2012-10-31 17:50:24 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@chalky ok, let me know if you want to borrow it when you get back."
"263315841263742976","","","263060345218797568","22084427","2012-10-30 16:26:03 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","RT @robdelaney: Director of Google Research Peter Norvig created great FAQ about 2012 election:
http://t.co/pwbKoNlE","http://norvig.com/election-faq-2012.html"
"263315777548075008","","","","","2012-10-30 16:25:48 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","Hurricane Sandy aftermath from the NY Times http://t.co/rI3KXZX5","http://cl.ly/1f3S0U2P2438"
"263258576636739584","263123786008780801","40179264","","","2012-10-30 12:38:30 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@mattgreenfield the most important part is being safe during the event. I feel safer with earthquakes going on than with a hurricane."
"263095726295355392","","","","","2012-10-30 01:51:23 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","Hey @MattVelasco0, it?s super sunny and yesterday hit 80? in California. Still don?t want to move back home?"
"263057085477040128","","","","","2012-10-29 23:17:51 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","Do I know anyone going to the parade on Wednesday?"
"263049829830242304","263043686009561089","23357834","","","2012-10-29 22:49:01 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@anthonywu Agreed. The Nexus line is awesome."
"263049190169518080","","","","","2012-10-29 22:46:28 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","Hey @hellobuglers and @TheBuglePodcast, I found @BuglesAmerican RT @darrenrovell: Guy in Hudson River in a waverunner http://t.co/gj8Ynlju","http://cl.ly/033k0l1L042g"
"262991434213388288","","","262985176139841536","115485051","2012-10-29 18:56:58 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","RT @ConanOBrien: Here's the 1st official photo from the new Arrested Development on @Netflix. Spoiler alert: I'm an amazing actor: http: ..."
"262970340496506880","","","","","2012-10-29 17:33:09 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","RT @imaginek12: Imagine K12 Launches Its 3rd Cohort, Bringing The Digital Revolution To Classrooms Near You | http://t.co/QigNJ5f8","http://cl.ly/3R1x0S2E2b1g"
"262758188393320452","262757697307439105","50478950","","","2012-10-29 03:30:08 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@kennethreitz pretty sure tweeting and picture taking while driving isn't a good idea."
"262695462270816258","262685503856463872","820873","","","2012-10-28 23:20:53 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","@chalky I do. Do you head down to near PA at all? I don?t have plans to go to the city til Friday."
"262441272327950336","","","","","2012-10-28 06:30:49 +0000","<a href=""http://instagr.am"" rel=""nofollow"">Instagram</a>","Glad to see SFO is still lit up in orange after I got back #gogi @ San Francisco International Airport (SFO) http://t.co/gGj9YugX","http://instagr.am/p/RUOFTGI-bt/"
"262216027872579585","","","","","2012-10-27 15:35:47 +0000","<a href=""http://instagr.am"" rel=""nofollow"">Instagram</a>","Adios Hong Kong @ Hong Kong International Airport http://t.co/SJ1wvolx","http://instagr.am/p/RSnvsoI-e8/"
"261640931177005057","","","","","2012-10-26 01:30:33 +0000","<a href=""http://instagr.am"" rel=""nofollow"">Instagram</a>","Hong Kong city skyline @ Hong Kong http://t.co/7ENnjTc9","http://instagr.am/p/ROiYXdI-bn/"
"261638716320260097","","","","","2012-10-26 01:21:45 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Good skill to all the @imaginek12 companies presenting at Demo Day tomorrow!"
"261638402393399296","261611531400273920","18576413","","","2012-10-26 01:20:30 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@heyamylin @imaginek12 is never over! Good skill to you all tomorrow!"
"260709701472354305","","","","","2012-10-23 11:50:11 +0000","<a href=""http://instagr.am"" rel=""nofollow"">Instagram</a>","Sunrise in front of Annapurna South @ Nepal http://t.co/4PaYBrCz","http://instagr.am/p/RH63xpo-WL/"
"260287093182435328","","","","","2012-10-22 07:50:53 +0000","<a href=""http://instagr.am"" rel=""nofollow"">Instagram</a>","Handstand in the Himalayas @ Nepal http://t.co/pia3GPfN","http://instagr.am/p/RE6qGfo-YA/"
"260216770068086784","","","","","2012-10-22 03:11:27 +0000","<a href=""http://instagr.am"" rel=""nofollow"">Instagram</a>","Sheep herding in the Himalayas @ Nepal http://t.co/L1NtTD6t","http://instagr.am/p/REah2Xo-Zz/"
"260052892290019328","","","","","2012-10-21 16:20:15 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Trekking in Nepal is amazing."
"259997818612248576","","","","","2012-10-21 12:41:25 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @rohitnafday: #firetedford"
"257267293405446144","257160513476255744","297060789","","","2012-10-13 23:51:17 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@KraskaE thanks for sharing Ellen!"
"256556033596604416","","","","","2012-10-12 00:44:59 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NEPAL: I am in you!"
"256325869075853312","","","","","2012-10-11 09:30:24 +0000","<a href=""http://instagr.am"" rel=""nofollow"">Instagram</a>","Waiting for the Nepal connection  @ Hong Kong International Airport http://t.co/mNvdckfG","http://instagr.am/p/QoxNjHI-Sx/"
"255940172754071552","","","","","2012-10-10 07:57:48 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Current status http://t.co/8miMDSFD","http://twitter.com/chrisstreeter/status/255940172754071552/photo/1"
"255915029088575489","255912150684545024","720931356","","","2012-10-10 06:17:52 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@smartercookie @danieljyoo thanks guys!"
"255897542410264576","","","","","2012-10-10 05:08:23 +0000","<a href=""http://instagr.am"" rel=""nofollow"">Instagram</a>","Let's go Giants! Stay alive so I can watch you when I get back!  @ International Terminal http://t.co/VGlEP2FW","http://instagr.am/p/Qls__xo-Zp/"
"255161897991684096","","","","","2012-10-08 04:25:11 +0000","<a href=""http://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","Bad news for Venezuelans (and tourists) RT @nytimes: Hugo Ch?vez wins a 3rd term in Venezuela's presidential election http://t.co/j1yfchuZ","http://cl.ly/3l172l0P0r3X"
