"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"126657591374917632","126656208944906240","8286","","","2011-10-19 13:54:57 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@DevP too bad they rejected this feature ""enhancement"" http://t.co/ZSDy2CVP","http://redmine.ruby-lang.org/issues/5054"
"126485809045045250","","","","","2011-10-19 02:32:21 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","I don't think I've ever been so excited for a @googlechrome update. Finally doesn't require my GPU, saving battery life http://t.co/jdIYg3of","http://googlechromereleases.blogspot.com/2011/10/dev-channel-update_18.html"
"126345281267699712","","","126342909539794944","14124477","2011-10-18 17:13:57 +0000","web","RT @jefflab: Big news!  Zoodles acquired by HTC 

http://t.co/EUxcNBLZ","http://blogs.ft.com/fttechhub/2011/10/htc-buys-zoodles-for-the-kids/#axzz1b981ulbT"
"126345096487649281","126342909539794944","14124477","","","2011-10-18 17:13:13 +0000","web","@jefflab whoa! congrats dude! thats huge!"
"126026936874045440","","","","","2011-10-17 20:08:57 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","Don't Copy That Floppy! w/ MC DP (Disc Protector)  http://t.co/w24o9HxA","http://www.youtube.com/watch?v=up863eQKGUI"
"125692310351650816","","","","","2011-10-16 21:59:16 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","Vegetarian: ancient tribal slang for the village idiot who can't hunt, fish or ride."
"125637712635105280","","","","","2011-10-16 18:22:19 +0000","<a href=""http://flickr.com/services/twitter/"" rel=""nofollow"">Flickr</a>","Marshall Beach in SF http://t.co/erNSBYtg","http://flic.kr/s/aHsjwp2qKt"
"125636616835448833","125631418893205504","15161274","","","2011-10-16 18:17:58 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@brettkopf thanks dude"
"125584240682352641","","","125555228740300802","62549025","2011-10-16 14:49:50 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","RT @tomvanderbilt: In Dubai, road crashes dropped 20% during the Blackberry outage (with correlation does not equal causation caveat).   ..."
"125455456289296385","","","","","2011-10-16 06:18:06 +0000","<a href=""http://flickr.com/services/twitter/"" rel=""nofollow"">Flickr</a>","Golden Gate Bridge at Night http://t.co/3iFJSXmO","http://flic.kr/p/awa69X"
"125455366497632256","","","","","2011-10-16 06:17:44 +0000","<a href=""http://flickr.com/services/twitter/"" rel=""nofollow"">Flickr</a>","Sunset from Marshall Beach, SF http://t.co/73B1tIj5","http://flic.kr/p/awcM7b"
"125293142109978625","125292553888219136","8286","","","2011-10-15 19:33:07 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@DevP Thats a lot of apples. I like the zoom in progression :)"
"124721869805989888","","","","","2011-10-14 05:43:05 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","Text Messagings: The Least Common Denominator in the Classroom http://t.co/ZdYJ7mbf","http://bigthink.com/ideas/40654"
"124654097684107264","","","","","2011-10-14 01:13:47 +0000","<a href=""http://flickr.com/services/twitter/"" rel=""nofollow"">Flickr</a>","Beat U$C! http://t.co/2C11hJqc","http://flic.kr/p/avC5ZW"
"124582497261584384","","","","","2011-10-13 20:29:16 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","BEAT U$C! RT @ConDri: Roll. On. You. Bears!!!!! #GoBears #Cal #USC"
"124504146689789952","124477711346438144","14635493","","","2011-10-13 15:17:56 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@alex_gaynor c'mon, you gotta share secrets that are that cool."
"124267189753745408","","","","","2011-10-12 23:36:21 +0000","<a href=""http://flickr.com/services/twitter/"" rel=""nofollow"">Flickr</a>","USPS: The Ultimate Internet Delivery Vehicle http://t.co/tU9Wty8C","http://flic.kr/p/avkMvy"
"123575612643352577","","","","","2011-10-11 01:48:16 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","RT @KBergCBS: Stern: I'm sorry to report ... that the first 2 wks of the season have been canceled."
"123489367925862400","","","","","2011-10-10 20:05:34 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","RT @ConanOBrien: Just spent 5 hours organizing my Qwikster queue. Really starting to love this new site! #qwikster4life"
"123162527059292160","123146322885873664","15668311","","","2011-10-09 22:26:49 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@mattbornski bummer, thanks dude. I've got a pork roast that's been cooking since yesterday for dinner already. we need to hang out though"
"122449579051462656","122449461493497858","19261045","","","2011-10-07 23:13:49 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@ConDri I say that if I had the iPhone 4, I'd upgrade to the Nexus Prime when it is released."
"122448431649259520","122447670890610688","19261045","","","2011-10-07 23:09:15 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@ConDri http://t.co/Tn49PRmc and http://t.co/995V9vEK","https://twitter.com/#!/jsnell/status/121297279675142145","http://www.macworld.com/article/162869/2011/10/iphone_4s_what_you_need_to_know.html"
"122447086355615744","122437156500275200","19261045","","","2011-10-07 23:03:55 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@ConDri except for the all new insides and the voice recognition"
"121444270191296513","121441934928642048","14062093","","","2011-10-05 04:39:04 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@liamdon @usamahc deportation sucks."
"121437527528849409","","","","","2011-10-05 04:12:17 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","Looks like I'm going to Startup School - http://t.co/9QZoL1Is","http://startupschool.org/"
"121403572834418688","121403055198572546","167086378","","","2011-10-05 01:57:21 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@travlake the two best shows ever. Plus a damn fine book series."
"121041727413956609","","","","","2011-10-04 01:59:31 +0000","<a href=""http://flickr.com/services/twitter/"" rel=""nofollow"">Flickr</a>","Yosemite pictures posted http://t.co/iGysmab8","http://flic.kr/s/aHsjwfEWLF"
"120999304780447745","","19261045","","","2011-10-03 23:10:56 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@ConDri: via @chrisstreeter #ArrestedDevelopment http://t.co/qhJ1NhDT","http://i.imgur.com/lButB.jpg"
"120638319980851200","120341686449750017","14062093","","","2011-10-02 23:16:31 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@liamdon You sir are mistaken."
"120634459707019264","","","","","2011-10-02 23:01:11 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","RT @batemanjason: It's true. We will do 10 episodes and the movie. Probably shoot them all together next summer for a release in early '13."
