"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"164564325678329856","","","164520352419024896","86640232","2012-02-01 04:22:47 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","RT @nytgraphics: More Super PAC filings: Make Us Great Gain, a pro-Perry Super PAC, had 6 donors that gave $250,000 or more http://t.co/ ..."
"164448345585238016","","","164447223382425601","14818177","2012-01-31 20:41:55 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","RT @professorpost: Watch my latest lesson! http://t.co/IkZjxlrR via @educreations I just discovered the easiest way to use my iPad to re ...","http://edcr8.co/w2YdcK"
"164215407010529280","164213284894031874","32765534","","","2012-01-31 05:16:18 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@sportsguy33 Done and done http://t.co/VuFPi4ZY","http://www.youtube.com/watch?v=Z9q8jsVQnNk&feature=youtu.be"
"163828560358936576","163772012907593728","49887122","","","2012-01-30 03:39:07 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@kazuomatsu consecration might be one of my favorite beers ever."
"162321340295151616","","","","","2012-01-25 23:49:57 +0000","<a href=""http://flickr.com/services/twitter/"" rel=""nofollow"">Flickr</a>","My new trail runners. I'm stylin' now. http://t.co/mur02tfR","http://flic.kr/p/biBrDX"
"162200795310329856","","","","","2012-01-25 15:50:57 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","Congrats @danieljyoo and @goalbookapp on the investment from @nsvf! Imagine K12 S11 class for the win!"
"161996461071007744","","","","","2012-01-25 02:19:00 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","RT @brettkopf: Great meeting @JackCWest in person & appreciate the feedback. Any #edtech folks should follow his blog https://t.co/buAd7Ynk","https://jackcwest.wordpress.com"
"161493463869820929","","","161476239712980993","13393052","2012-01-23 17:00:16 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","RT @ACLU: BREAKING: #Privacy victory in #Jones v US! #SCOTUS rules that the #4thAmendment applies to #GPS tracking. MORE SOON."
"161316224670760962","161316145297764352","134503786","","","2012-01-23 05:15:59 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@ericsimons40 Deal."
"161313386934714368","161306589142319104","134503786","","","2012-01-23 05:04:43 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@ericsimons40 dude, when are you coming back?"
"161118826858151936","","","","","2012-01-22 16:11:36 +0000","<a href=""http://flickr.com/services/twitter/"" rel=""nofollow"">Flickr</a>","Palo Alto at Night http://t.co/1NevZt3c","http://flic.kr/p/bgQhj4"
"160990279694946304","160951264354631681","14902400","","","2012-01-22 07:40:48 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@KevinByers sorry about that Kevin, total mixup happened along the way somehow."
"160435372961169408","","","160435170313383937","223638132","2012-01-20 18:55:48 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","RT @educreations: Want to make great science videos? Check out this great overview by Scientific American http://t.co/ascgLF6k feat @edu ...","http://blogs.scientificamerican.com/psi-vid/2012/01/20/video-making-workshop-101/"
