"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"86679910667661313","","","","","2011-07-01 06:17:55 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","Ridiculous 60 foot rope swing on the Truckee river: http://t.co/yKryw8r","http://www.youtube.com/watch?v=HMsdRdgZ16k"
"86446358306889728","","14109167","","","2011-06-30 14:49:52 +0000","web","@flowingdata do you still have any flowing data stickers left? I'm interested in one. Also, where did you get your stickers through?"
"86294699840778240","86293431281909760","28433635","","","2011-06-30 04:47:14 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@jcarlpayne ha. damn ipod. google cut me off on my invites though, otherwise i would have."
"86230363843739648","","","","","2011-06-30 00:31:35 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","I've got Google+ invites if you want em."
"86220683486576640","","","","","2011-06-29 23:53:07 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","Oh Sass, where have you been all my web development life: http://t.co/QQIWHGH","http://sass-lang.com/"
"85915315334160384","","","","","2011-06-29 03:39:42 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","I have not yet seen Cars 2, but this is not heartening: http://t.co/3Z9W2z0","http://i.imgur.com/9FuaF.png"
"84885897920782336","84884520733650944","17831644","","","2011-06-26 07:29:09 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@danieljyoo @usamahc Oh, and check out the ""secret"" In-n-out menu if you haven't yet."
"84885769214373888","84884520733650944","17831644","","","2011-06-26 07:28:39 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@danieljyoo @usamahc fraishe in Palo Alto is way better than Pinkberry. But yes, In-n-out rules."
"84694224578162688","","","84663243267776513","16203848","2011-06-25 18:47:31 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","RT @zarfeblong: Ever notice that people celebrate in the streets for joy when marriage equality passes, but not when it's blocked?"
"84122262386638849","","","","","2011-06-24 04:54:44 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","Whoa... lowest rating I've seen for a Pixar movie: http://t.co/6pvAFE6","http://www.rottentomatoes.com/m/cars_2/"
"83966336652410880","","","","","2011-06-23 18:35:09 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","Wired is doing a fundraiser for the Khan Academy: http://t.co/66SAZqn","http://www.crowdrise.com/Khanacademyproject/fundraiser/WIRED"
"83346143576211457","83345975778885632","17338082","","","2011-06-22 01:30:43 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@TMobile #gdgtny 1977"
"83336078643310594","83335896295940097","17338082","","","2011-06-22 00:50:44 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@TMobile #gdgtny adamantium"
"83327056376635392","83323397605568512","17338082","","","2011-06-22 00:14:53 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@TMobile @htc #gdgtny AI Atomic Weight: 26.98154amu"
"82662461546823680","82662388721131520","19261045","","","2011-06-20 04:14:01 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@ConDri Thats where I first noticed it :)"
"82653722106273792","","","","","2011-06-20 03:39:17 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","When #HappyFarhersDay (sp) is a trending topic, you know that some phone platform needs improved auto-correction."
"82462558367383552","","","","","2011-06-19 14:59:40 +0000","<a href=""http://flickr.com/services/twitter/"" rel=""nofollow"">Flickr</a>","Google's in browser Voice callout on Father's day. Reminder. Call Dad http://flic.kr/p/9UP3HX"
"81896681360199680","","","","","2011-06-18 01:31:05 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","Nice! I sold a print of my SF Streets photo: http://t.co/5hHqD59","http://gallery.chrisstreeter.com/california/#5602889164843230114"
"81538142523490305","","","","","2011-06-17 01:46:22 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","RT @TechCrunch: Education Incubator Imagine K12 Picks Ten Startups For Its First Class http://t.co/IzVAylS by @arrington","http://tcrn.ch/j9iFIv"
"81453383453650944","81452846352048128","19261045","","","2011-06-16 20:09:34 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@ConDri Shark Week doesn't start until July 31st http://t.co/u5EiKlt I'd say you got scammed.","http://dsc.discovery.com/tv/shark-week/"
"81422867606142976","","","81408762644152321","16303106","2011-06-16 18:08:19 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","RT @StephenAtHome: Insiders say facebook has a new secret project. We'll hear about it soon - they're terrible at keeping things private."
"81053316175511552","","","","","2011-06-15 17:39:51 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","Congratulations are in order for the (yesterday only) Cleveland Mavericks! http://t.co/eSj6vk7","http://newsfeed.time.com/2011/06/14/oh-snap-in-jab-at-lebron-governor-makes-mavericks-honorary-ohioans/"
"80802027835371521","80801926471630849","19261045","","","2011-06-15 01:01:19 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@ConDri hahaha. thats what you get for moving to the city."
"80698440568406016","","","","","2011-06-14 18:09:42 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","RT @ReadyForZero: Exciting news today - we've just finished raising $4.5 million to build you better products. http://t.co/7M9z9zM","http://blog.readyforzero.com/2011/06/14/venture-funded/"
"80317845824749568","","","","","2011-06-13 16:57:21 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","Enjoy data? Visualizations? Education? Check out the Hacking Education contest by @DonorsChoose: http://t.co/jQadgVt","http://streeter.ws/mTDEsO"
"80302569930502144","","","","","2011-06-13 15:56:39 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","Why didn't Lebron go to college? Because he didn't want to show up for the finals."
"80108134697402368","","","80105781101477888","16017475","2011-06-13 03:04:02 +0000","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @fivethirtyeight: For the series, Heat were outscored by 36 with LeBron on the floor. But they outscored Dallas by 22 with him on the ..."
"80103942683500544","","","","","2011-06-13 02:47:22 +0000","<a href=""http://flickr.com/services/twitter/"" rel=""nofollow"">Flickr</a>","Go Bears http://flic.kr/p/9SVZsq"
"79198329619218433","","","","","2011-06-10 14:48:47 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","Just got Android 3.1 on my Galaxy Tab 10. Resizable widgets and a noticed speed improvement are awesome! http://t.co/DWwkWhM","http://developer.android.com/sdk/android-3.1.html"
